"Id","Intitule","Entreprise","Statut","Erreur"
"SPONT-organisation-internationale-de-la-vigne-","Candidature spontanée - Alternance Data / Science des données","ORGANISATION INTERNATIONALE DE LA VIGNE ET DU VIN","OK",""
"SPONT-inra-unite-experimentale-de-pech-rouge","Candidature spontanée - Alternance Data / Science des données","INRA UNITE EXPERIMENTALE DE PECH ROUGE","OK",""
"SPONT-thales-cryogenie","Candidature spontanée - Alternance Data / Science des données","THALES CRYOGENIE","OK",""
"SPONT-cnrs","Candidature spontanée - Alternance Data / Science des données","CNRS","OK",""
"SPONT-office-de-tourisme","Candidature spontanée - Alternance Data / Science des données","OFFICE DE TOURISME","OK",""
"SPONT-chru-de-montpellier","Candidature spontanée - Alternance Data / Science des données","CHRU DE MONTPELLIER","OK",""
"SPONT-cameron-france-sa","Candidature spontanée - Alternance Data / Science des données","CAMERON FRANCE SA","OK",""
"SPONT-cg-aude-service-tourisme","Candidature spontanée - Alternance Data / Science des données","CG Aude - Service Tourisme","OK",""
"SPONT-smmar","Candidature spontanée - Alternance Data / Science des données","SMMAR","OK",""
"SPONT-sist-sante-travail","Candidature spontanée - Alternance Data / Science des données","SIST - Santé Travail","OK",""
"SPONT-polygone-expertise-comptable","Candidature spontanée - Alternance Data / Science des données","POLYGONE EXPERTISE COMPTABLE","OK",""
"SPONT-sava-apajh-service-d-accompagnement-vers","Candidature spontanée - Alternance Data / Science des données","SAVA APAJH - Service d'accompagnement vers l'autonomie","OK",""
"SPONT-ephad","Candidature spontanée - Alternance Data / Science des données","EPHAD","OK",""
"SPONT-communaute-d-agglomeration-carcassonne-a","Candidature spontanée - Alternance Data / Science des données","Communauté d'agglomération Carcassonne Agglo","OK",""
"SPONT-sopra-group","Candidature spontanée - Alternance Data / Science des données","SOPRA GROUP","OK",""
"SPONT-laboratoire-arago","Candidature spontanée - Alternance Data / Science des données","Laboratoire ARAGO","OK",""
"SPONT-mairie-de-limoux","Candidature spontanée - Alternance Data / Science des données","Mairie de Limoux","OK",""
"SPONT-inra","Candidature spontanée - Alternance Data / Science des données","INRA","OK",""
"SPONT-office-national-de-la-chasse-et-de-la-fa","Candidature spontanée - Alternance Data / Science des données","OFFICE NATIONAL DE LA CHASSE ET DE LA FAUNE SAUVAGE","OK",""
"SPONT-universite-paul-sabatier","Candidature spontanée - Alternance Data / Science des données","Université Paul Sabatier","OK",""
"SPONT-mairie-de-saint-hippolyte","Candidature spontanée - Alternance Data / Science des données","Mairie de Saint Hippolyte","OK",""
"SPONT-chru-de-montpellier-hopital-la-colombier","Candidature spontanée - Alternance Data / Science des données","CHRU DE MONTPELLIER, Hôpital la Colombière","OK",""
"SPONT-ce-berger-levrault-labege","Candidature spontanée - Alternance Data / Science des données","CE BERGER-LEVRAULT LABEGE","OK",""
"SPONT-continental-automotive-france-sas","Candidature spontanée - Alternance Data / Science des données","CONTINENTAL AUTOMOTIVE FRANCE SAS","OK",""
"SPONT-caisse-d-allocations-familiales-de-l-aud","Candidature spontanée - Alternance Data / Science des données","CAISSE D'ALLOCATIONS FAMILIALES DE L'AUDE","OK",""
"SPONT-union-departementale-association-familia","Candidature spontanée - Alternance Data / Science des données","UNION DEPARTEMENTALE ASSOCIATION FAMILIALES","OK",""
"SPONT-alcatel-lucent-enterprise","Candidature spontanée - Alternance Data / Science des données","ALCATEL-LUCENT ENTERPRISE","OK",""
"SPONT-cci-beziers","Candidature spontanée - Alternance Data / Science des données","CCI BEZIERS","OK",""
"SPONT-hopital-apt","Candidature spontanée - Alternance Data / Science des données","Hôpital APT","OK",""
"SPONT-communaute-urbaine-du-grand-toulouse","Candidature spontanée - Alternance Data / Science des données","Communauté Urbaine du Grand Toulouse","OK",""
"SPONT-sarl-maisons-regionales-escourrou","Candidature spontanée - Alternance Data / Science des données","SARL MAISONS REGIONALES ESCOURROU","OK",""
"SPONT-agc-du-tarn","Candidature spontanée - Alternance Data / Science des données","AGC DU TARN","OK",""
"SPONT-cnes-iut","Candidature spontanée - Alternance Data / Science des données","CNES-IUT","OK",""
"SPONT-map-pamiers","Candidature spontanée - Alternance Data / Science des données","MAP - Pamiers","OK",""
"SPONT-cooperative-agricole-de-vinification","Candidature spontanée - Alternance Data / Science des données","Coopérative Agricole de Vinification","OK",""
"SPONT-scv-les-vignerons-douveillan","Candidature spontanée - Alternance Data / Science des données","SCV les Vignerons dOuveillan","OK",""
"SPONT-coop-agr-les-greniers-du-razes","Candidature spontanée - Alternance Data / Science des données","Coop. Agr. Les Greniers du Razès","OK",""
"SPONT-sca-audecoop","Candidature spontanée - Alternance Data / Science des données","SCA AUDECOOP","OK",""
"SPONT-college-st-exupery","Candidature spontanée - Alternance Data / Science des données","Collège St Exupéry","OK",""
"SPONT-mairie-de-bram","Candidature spontanée - Alternance Data / Science des données","Mairie de Bram","OK",""
"SPONT-onf-division-de-quillan","Candidature spontanée - Alternance Data / Science des données","ONF division de Quillan","OK",""
